PARAM1_STR,PARAM1_NUM,CATEGORY,PARAM2_STR,PARAM2_NUM,ORDER_NUM,VALID_FLG,COMMENTS
,169,"SUBJECT_ID_TO_PID","b82075",,1,"Y",
,170,"SUBJECT_ID_TO_PID","b66155",,1,"Y",
,171,"SUBJECT_ID_TO_PID","b73458",,1,"Y",
,172,"SUBJECT_ID_TO_PID","b60331",,1,"Y",
,173,"SUBJECT_ID_TO_PID","b67517",,1,"Y",
,174,"SUBJECT_ID_TO_PID","b77823",,1,"Y",
,175,"SUBJECT_ID_TO_PID","b70068",,1,"Y",
,175,"SUBJECT_ID_TO_PID","b73156",,2,"Y",
,176,"SUBJECT_ID_TO_PID","b71538",,1,"Y",
,177,"SUBJECT_ID_TO_PID","b76268",,1,"Y",
,177,"SUBJECT_ID_TO_PID","b62154",,2,"Y",
,178,"SUBJECT_ID_TO_PID","b65849",,1,"Y",
,179,"SUBJECT_ID_TO_PID","b78564",,1,"Y",
,180,"SUBJECT_ID_TO_PID","b73636",,1,"Y",
,181,"SUBJECT_ID_TO_PID","b65271",,1,"Y",
,182,"SUBJECT_ID_TO_PID","b74767",,1,"Y",
,183,"SUBJECT_ID_TO_PID","b61348",,1,"Y",
,184,"SUBJECT_ID_TO_PID","b60530",,2,"Y",
,184,"SUBJECT_ID_TO_PID","b60494",,1,"Y",
,185,"SUBJECT_ID_TO_PID","b80924",,1,"Y",
,186,"SUBJECT_ID_TO_PID","b89048",,1,"Y",
,187,"SUBJECT_ID_TO_PID","b62727",,1,"Y",
,188,"SUBJECT_ID_TO_PID","b78646",,1,"Y",
,188,"SUBJECT_ID_TO_PID","b81158",,2,"Y",
,188,"SUBJECT_ID_TO_PID","b86767",,3,"Y",
,189,"SUBJECT_ID_TO_PID","b82125",,1,"Y",
,190,"SUBJECT_ID_TO_PID","b71471",,1,"Y",
,191,"SUBJECT_ID_TO_PID","b67428",,1,"Y",
,192,"SUBJECT_ID_TO_PID","b72277",,1,"Y",
,193,"SUBJECT_ID_TO_PID","b88262",,1,"Y",
,194,"SUBJECT_ID_TO_PID","b74859",,1,"Y",
,195,"SUBJECT_ID_TO_PID","b63919",,1,"Y",
,196,"SUBJECT_ID_TO_PID","b71154",,1,"Y",
,197,"SUBJECT_ID_TO_PID","b87027",,1,"Y",
,198,"SUBJECT_ID_TO_PID","b73071",,1,"Y",
,199,"SUBJECT_ID_TO_PID","b60117",,1,"Y",
,200,"SUBJECT_ID_TO_PID","b85721",,1,"Y",
,201,"SUBJECT_ID_TO_PID","b70890",,1,"Y",
,202,"SUBJECT_ID_TO_PID","b76322",,1,"Y",
,203,"SUBJECT_ID_TO_PID","b63479",,2,"Y",
,203,"SUBJECT_ID_TO_PID","b89801",,1,"Y",
,204,"SUBJECT_ID_TO_PID","b71376",,1,"Y",
,205,"SUBJECT_ID_TO_PID","b65597",,1,"Y",
,206,"SUBJECT_ID_TO_PID","b67537",,1,"Y",
,207,"SUBJECT_ID_TO_PID","b86251",,1,"Y",
,208,"SUBJECT_ID_TO_PID","b61243",,1,"Y",
,209,"SUBJECT_ID_TO_PID","b64013",,1,"Y",
,210,"SUBJECT_ID_TO_PID","b85674",,1,"Y",
,211,"SUBJECT_ID_TO_PID","b72554",,1,"Y",
,211,"SUBJECT_ID_TO_PID","b85198",,2,"Y",
,212,"SUBJECT_ID_TO_PID","b81824",,1,"Y",
,213,"SUBJECT_ID_TO_PID","b86751",,1,"Y",
,214,"SUBJECT_ID_TO_PID","b60668",,1,"Y",
,215,"SUBJECT_ID_TO_PID","b75125",,1,"Y",
,216,"SUBJECT_ID_TO_PID","b76134",,1,"Y",
,217,"SUBJECT_ID_TO_PID","b61501",,1,"Y",
,218,"SUBJECT_ID_TO_PID","b83716",,1,"Y",
,219,"SUBJECT_ID_TO_PID","b69419",,1,"Y",
,220,"SUBJECT_ID_TO_PID","b60821",,1,"Y",
,221,"SUBJECT_ID_TO_PID","b68993",,1,"Y",
,222,"SUBJECT_ID_TO_PID","b71937",,2,"Y",
,222,"SUBJECT_ID_TO_PID","b84035",,1,"Y",
,223,"SUBJECT_ID_TO_PID","b78797",,1,"Y",
,224,"SUBJECT_ID_TO_PID","b82368",,1,"Y",
,225,"SUBJECT_ID_TO_PID","b69111",,1,"Y",
,226,"SUBJECT_ID_TO_PID","b79047",,1,"Y",
,227,"SUBJECT_ID_TO_PID","b86057",,1,"Y",
,228,"SUBJECT_ID_TO_PID","b71690",,1,"Y",
,229,"SUBJECT_ID_TO_PID","b65259",,1,"Y",
,230,"SUBJECT_ID_TO_PID","b71474",,1,"Y",
,231,"SUBJECT_ID_TO_PID","b73289",,2,"Y",
,231,"SUBJECT_ID_TO_PID","b89518",,1,"Y",
,232,"SUBJECT_ID_TO_PID","b89906",,1,"Y",
,233,"SUBJECT_ID_TO_PID","b65016",,1,"Y",
,234,"SUBJECT_ID_TO_PID","b72566",,1,"Y",
,234,"SUBJECT_ID_TO_PID","b87794",,2,"Y",
,235,"SUBJECT_ID_TO_PID","b80769",,1,"Y",
,236,"SUBJECT_ID_TO_PID","b86606",,1,"Y",
,236,"SUBJECT_ID_TO_PID","b82560",,2,"Y",
,237,"SUBJECT_ID_TO_PID","b64327",,1,"Y",
,238,"SUBJECT_ID_TO_PID","b87005",,1,"Y",
,239,"SUBJECT_ID_TO_PID","b84435",,1,"Y",
,239,"SUBJECT_ID_TO_PID","b86426",,2,"Y",
,240,"SUBJECT_ID_TO_PID","b66972",,1,"Y",
,241,"SUBJECT_ID_TO_PID","b78521",,1,"Y",
,242,"SUBJECT_ID_TO_PID","b63596",,1,"Y",
,243,"SUBJECT_ID_TO_PID","b66953",,1,"Y",
,244,"SUBJECT_ID_TO_PID","b82195",,1,"Y",
,245,"SUBJECT_ID_TO_PID","b68521",,1,"Y",
,246,"SUBJECT_ID_TO_PID","b86433",,1,"Y",
,247,"SUBJECT_ID_TO_PID","b64584",,1,"Y",
,248,"SUBJECT_ID_TO_PID","b81659",,1,"Y",
,249,"SUBJECT_ID_TO_PID","b64531",,1,"Y",
,250,"SUBJECT_ID_TO_PID","b70304",,1,"Y",
,251,"SUBJECT_ID_TO_PID","b70047",,1,"Y",
,252,"SUBJECT_ID_TO_PID","b76180",,1,"Y",
,252,"SUBJECT_ID_TO_PID","b79419",,2,"Y",
,253,"SUBJECT_ID_TO_PID","b89526",,1,"Y",
,254,"SUBJECT_ID_TO_PID","b86772",,1,"Y",
,255,"SUBJECT_ID_TO_PID","b85135",,1,"Y",
,256,"SUBJECT_ID_TO_PID","b74219",,1,"Y",
,257,"SUBJECT_ID_TO_PID","b60002",,1,"Y",
,258,"SUBJECT_ID_TO_PID","b71375",,1,"Y",
,259,"SUBJECT_ID_TO_PID","b76536",,1,"Y",
,260,"SUBJECT_ID_TO_PID","b84962",,1,"Y",
,261,"SUBJECT_ID_TO_PID","b67158",,1,"Y",
,262,"SUBJECT_ID_TO_PID","b85572",,1,"Y",
,263,"SUBJECT_ID_TO_PID","b67979",,1,"Y",
,264,"SUBJECT_ID_TO_PID","b76714",,1,"Y",
,265,"SUBJECT_ID_TO_PID","b80647",,1,"Y",
,266,"SUBJECT_ID_TO_PID","b60541",,1,"Y",
,267,"SUBJECT_ID_TO_PID","b84220",,1,"Y",
,268,"SUBJECT_ID_TO_PID","b71228",,1,"Y",
,269,"SUBJECT_ID_TO_PID","b64504",,1,"Y",
,270,"SUBJECT_ID_TO_PID","b64329",,1,"Y",
,271,"SUBJECT_ID_TO_PID","b67962",,1,"Y",
,272,"SUBJECT_ID_TO_PID","b69786",,1,"Y",
,273,"SUBJECT_ID_TO_PID","b86289",,1,"Y",
,274,"SUBJECT_ID_TO_PID","b65927",,1,"Y",
,275,"SUBJECT_ID_TO_PID","b77770",,1,"Y",
,276,"SUBJECT_ID_TO_PID","b74136",,1,"Y",
,277,"SUBJECT_ID_TO_PID","b61189",,1,"Y",
,278,"SUBJECT_ID_TO_PID","b71173",,1,"Y",
,279,"SUBJECT_ID_TO_PID","b67672",,1,"Y",
,280,"SUBJECT_ID_TO_PID","b67861",,1,"Y",
,281,"SUBJECT_ID_TO_PID","b64422",,1,"Y",
,282,"SUBJECT_ID_TO_PID","b79000",,1,"Y",
,283,"SUBJECT_ID_TO_PID","b65623",,1,"Y",
,284,"SUBJECT_ID_TO_PID","b87608",,1,"Y",
,285,"SUBJECT_ID_TO_PID","b88409",,1,"Y",
,286,"SUBJECT_ID_TO_PID","b80299",,1,"Y",
,287,"SUBJECT_ID_TO_PID","b74073",,1,"Y",
,288,"SUBJECT_ID_TO_PID","b78886",,1,"Y",
,289,"SUBJECT_ID_TO_PID","b63459",,1,"Y",
,290,"SUBJECT_ID_TO_PID","b66065",,1,"Y",
,291,"SUBJECT_ID_TO_PID","b78714",,1,"Y",
,292,"SUBJECT_ID_TO_PID","b67241",,1,"Y",
,293,"SUBJECT_ID_TO_PID","b78900",,1,"Y",
,294,"SUBJECT_ID_TO_PID","b75628",,1,"Y",
,295,"SUBJECT_ID_TO_PID","b76218",,1,"Y",
,296,"SUBJECT_ID_TO_PID","b67501",,1,"Y",
,297,"SUBJECT_ID_TO_PID","b77454",,1,"Y",
,298,"SUBJECT_ID_TO_PID","b85636",,1,"Y",
,299,"SUBJECT_ID_TO_PID","b79793",,1,"Y",
,300,"SUBJECT_ID_TO_PID","b73349",,1,"Y",
,301,"SUBJECT_ID_TO_PID","b85123",,1,"Y",
,302,"SUBJECT_ID_TO_PID","b64318",,1,"Y",
,303,"SUBJECT_ID_TO_PID","b76137",,2,"Y",
,303,"SUBJECT_ID_TO_PID","b67380",,1,"Y",
,304,"SUBJECT_ID_TO_PID","b88305",,1,"Y",
,305,"SUBJECT_ID_TO_PID","b83988",,1,"Y",
,305,"SUBJECT_ID_TO_PID","b85603",,2,"Y",
,306,"SUBJECT_ID_TO_PID","b79969",,1,"Y",
,307,"SUBJECT_ID_TO_PID","b81411",,1,"Y",
,308,"SUBJECT_ID_TO_PID","b65464",,1,"Y",
,309,"SUBJECT_ID_TO_PID","b89296",,1,"Y",
,310,"SUBJECT_ID_TO_PID","b82802",,1,"Y",
